Date,Microsoft (Power BI),Salesforce (Tableau),IBM (Cognos)
2019-09-06,139.11985510941565,111.44964122603504,126.37142596443533
2019-09-09,137.53964840135572,110.32089628253416,128.19639548840593
2019-09-10,136.0994530925251,110.4020546337535,130.39892154816096
2019-09-11,136.1394540535767,113.67759524182905,129.09539310481054
2019-09-12,137.53964840135572,114.1644772156474,129.1133543069431
2019-09-13,137.33961145390313,112.85869873422725,129.1582990825121
2019-09-16,136.34947115242062,112.88084212094583,128.08850760603536
2019-09-17,137.4096171535178,112.74068016080867,127.83678159020408
2019-09-18,138.53978492532687,112.7037745162777,127.85474279233667
2019-09-19,141.0901555609894,113.3161243259184,128.52899796634637
2019-09-20,139.459935598292,114.49648039384795,127.54909604100762
2019-09-23,139.15988821266177,114.09072270450014,127.71990846562973
2019-09-24,137.39963700212644,112.17261712460515,127.3692983741817
2019-09-25,139.37991760509152,112.86609121871636,128.6998196732435
2019-09-26,139.55991389427516,112.38656766263834,129.05042048241654
2019-09-27,137.74966550019965,109.37660007260759,128.77172017542387
2019-09-30,139.04988155199553,109.50938090383855,130.7315611552014
2019-10-01,137.0896255362021,108.95606876986446,129.1493324048583
2019-10-02,134.66924597063442,106.39613428703576,127.3783207454855
2019-10-03,136.2994739688804,108.44705476491048,127.67499153688577
2019-10-04,138.13969495932446,109.2069135968457,128.54699629757897
2019-10-07,137.13959057754784,109.77498798863215,127.00972160507986
2019-10-08,135.68938297513134,107.64292051512103,124.40260902472899
2019-10-09,138.25974605577105,108.48393769827558,125.56232718144369
2019-10-10,139.11985510941565,108.01179527110376,126.87486871382292
2019-10-11,139.6999735067962,110.19547386904355,128.3402429041417
2019-10-14,139.5699583300555,110.19547386904355,127.69294345674334
2019-10-15,141.5902077518777,112.68165384072499,128.55596297523275
2019-10-16,140.43013166808907,108.42493408935776,127.75588656354493
2019-10-17,139.70996972928478,107.83475037760152,120.69878637039007
2019-10-18,137.42964174068948,106.30024774475284,120.54595371245054
2019-10-21,138.44975463854053,106.63959798511078,119.18846740450233
2019-10-22,136.38945604237497,105.00181632549005,120.42907130560117
2019-10-23,137.25957738960543,107.06749906117719,120.80666497048563
2019-10-24,139.95997171808307,109.27330969025262,120.52797394576793
2019-10-25,140.75009114321026,111.02174014996864,121.759601886938
2019-10-28,144.21061622934934,114.19399037568925,122.23606106288918
2019-10-29,142.85042284262192,114.41532204262863,120.30324078564804
2019-10-30,144.63066649813442,116.76869847191327,121.58879874459087
